,times,frequency,temperature,mass_flow,volume_flow,mouth_pressure,offset,theta,radius,alpha,z,x,alpha_ref,z_ref,x_ref,flow_ref,note,offset_ref,theta_ref,radius_ref
30,0.6454946994781494,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
31,0.6759734153747559,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
32,0.7075932025909424,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
33,0.7227339744567871,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
34,0.7521193027496338,127.03079589645196,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
35,0.7666735649108887,127.03079589645196,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
36,0.7830617427825928,127.03079589645196,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
37,0.8126757144927979,127.03079589645196,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
38,0.8299882411956787,127.03079589645196,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
39,0.8612935543060303,127.03079589645196,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
40,0.8754494190216064,106.81974089615274,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
41,0.8911538124084473,106.81974089615274,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
42,0.9081611633300781,106.81974089615274,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
43,0.9380650520324707,106.81974089615274,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
44,0.9536504745483398,106.81974089615274,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
45,0.9714102745056152,106.81974089615274,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
46,1.0000250339508057,116.48775344855382,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
47,1.015315294265747,116.48775344855382,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
48,1.0299723148345947,116.48775344855382,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
49,1.047067403793335,116.48775344855382,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
50,1.075129747390747,116.48775344855382,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
51,1.09187650680542,116.48775344855382,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
52,1.1252834796905518,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
53,1.1543407440185547,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
54,1.1689720153808594,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
55,1.1852269172668457,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
56,1.1994125843048096,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
57,1.2145662307739258,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
58,1.2318079471588135,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
59,1.2463197708129883,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
60,1.2624588012695312,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
61,1.277312994003296,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
62,1.2914810180664062,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
63,1.3080332279205322,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
64,1.3409640789031982,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
65,1.3746109008789062,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
66,1.4030511379241943,111.2273533387383,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
67,1.4184761047363281,111.2273533387383,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
68,1.4345033168792725,111.2273533387383,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
69,1.4504413604736328,111.2273533387383,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
70,1.4827697277069092,111.2273533387383,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
71,1.4970228672027588,111.2273533387383,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
72,1.5291087627410889,111.87168684176291,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
73,1.5608482360839844,111.87168684176291,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
74,1.590843915939331,111.87168684176291,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
75,1.6211316585540771,111.87168684176291,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
76,1.6523571014404297,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
77,1.6829049587249756,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
78,1.7137417793273926,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
79,1.7454869747161865,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
80,1.7755675315856934,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
81,1.7910592555999756,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
82,1.80462646484375,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
83,1.821324348449707,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
84,1.8366930484771729,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
85,1.8536076545715332,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
86,1.8693292140960693,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
87,1.9006683826446533,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
88,1.9308559894561768,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
89,1.9634897708892822,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
90,1.9938580989837646,2092.0493174211356,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
91,2.022521495819092,115.14977748330686,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
92,2.0367281436920166,115.14977748330686,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
93,2.0520236492156982,115.14977748330686,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
94,2.0689449310302734,115.14977748330686,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
95,2.101116180419922,115.14977748330686,0.0,0.0,0.0,0.0,75.8,45.0,84.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D3,75.8,45.0,84.75
